Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:06:01 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:07:42 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:07:42 COT 2014
Recibido DISCOVERY de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:10:09 COT 2014
Se envió DHCP_OFFFER a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:10:09 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:10:10 COT 2014
Recibido DISCOVERY de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:10:17 COT 2014
Se envió DHCP_OFFFER a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:10:17 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:10:18 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:10:19 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:10:21 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:11:21 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:11:21 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:12:14 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:12:14 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:12:47 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:12:47 COT 2014
Recibido DISCOVERY de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:15:02 COT 2014
Se envió DHCP_OFFFER a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:15:02 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:15:03 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:15:04 COT 2014
Recibido INFORM de : [00-1A-73-68-C3-F5] || FECHA: Tue Nov 18 01:15:39 COT 2014
Recibido INFORM de : [00-1A-73-68-C3-F5] || FECHA: Tue Nov 18 01:15:42 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:16:08 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:16:08 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:16:34 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:16:34 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:16:49 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:16:49 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:17:04 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:17:04 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:17:19 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:17:19 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:17:34 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:17:34 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:17:49 COT 2014
Se envió DHCP_ACK a: [AC-FD-EC-C1-C8-6F] con la IP: [192.168.0.11] || FECHA: Tue Nov 18 01:17:49 COT 2014
Recibido REQUEST de: [AC-FD-EC-C1-C8-6F] || FECHA: Tue Nov 18 01:18:05 COT 2014
